test_id,widget_id,initial_parent_id,final_parent_id,initial_loc_x,initial_loc_y,final_loc_x,final_loc_y,initial_scale_x,initial_scale_y,final_scale_x,final_scale_y,loc_change_x,loc_change_y,scale_change_x,scale_change_y,initial_x,initial_y,final_x,final_y,x_change,y_change,timestamp
T003_1_ParentToRoot,fbeca9eb-473c-46bd-ad1f-4ff84f1dbea1,9b4398a8-068c-4906-9781-745240e542c3,9b4398a8-068c-4906-9781-745240e542c3,200.0,200.0,200.0,200.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,2025-07-19T22:51:25.600590
T003_2_ParentToRoot,0f37870c-2902-492e-ad8c-995cbc72cb5c,9b4398a8-068c-4906-9781-745240e542c3,9b4398a8-068c-4906-9781-745240e542c3,600.0,200.0,600.0,200.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,600.0,200.0,600.0,200.0,0.0,0.0,2025-07-19T22:51:25.720393
T003_3_ParentToRoot,988cac96-d157-4787-ba2c-9d13f723be98,9b4398a8-068c-4906-9781-745240e542c3,9b4398a8-068c-4906-9781-745240e542c3,200.0,500.0,200.0,500.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,200.0,500.0,200.0,500.0,0.0,0.0,2025-07-19T22:51:25.861139
T003_4_ParentToRoot,43b55b5b-0a2a-4e83-8d6f-ab25ea7cf85b,9b4398a8-068c-4906-9781-745240e542c3,9b4398a8-068c-4906-9781-745240e542c3,600.0,500.0,600.0,500.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,600.0,500.0,600.0,500.0,0.0,0.0,2025-07-19T22:51:25.990657
